English	Lithuanian	Reference
legend	sutartiniai Øenklai	https://www.vle.lt/straipsnis/sutartiniai-zenklai/
star	ØvaigØdÓ	
deep sky object	tolimojo kosmoso objektas	https://terminai.vlkk.lt/paieska?search=tolimasis+kosmosas
open cluster	padrikasis spieÑius	https://www.vle.lt/straipsnis/zvaigzdziu-spiecius/
globular cluster	kamuolinis spieÑius	
nebula	×kas	https://www.vle.lt/straipsnis/ukas/
galaxy	galaktika	
dark nebula	tamsusis ×kas	https://www.vle.lt/straipsnis/ukas/
association of stars	ØvaigØdØiÖ asociacija	https://www.vle.lt/straipsnis/zvaigzdziu-asociacija/
double star	dvinarÓ ØvaigØdÓ	
emission nebula	emisinis ×kas	https://www.vle.lt/straipsnis/ukas/
galaxy pair	galaktikÖ pora	
galaxy triplet	galaktikÖ trejetas	https://www.alkonas.lt/zodzio/triplet/vertimas
galaxy cluster	galaktikÖ spieÑius	
group of galaxies	galaktikÖ grupÓ	
hii ionized region	hii sritis	https://lt.wikipedia.org/wiki/H_II_sritis
nova star	nova (ØvaigØdÓ)	
planetary nebula	planetinis ×kas	https://www.vle.lt/straipsnis/ukas/
reflection nebula	atspindØio ×kas	https://www.vle.lt/straipsnis/ukas/
star cluster nebula	ØvaigØdØiÖ spieÑiaus ×kas	
supernova remnant	supernovos liekana	
